1,1
2,2
3,1
4,2
5,1
6,1
7,2
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,2
16,1
17,1
18,2
19,2
20,1
21,1
22,1
23,2
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,1
39,2
40,1
41,1
42,2
43,1
44,1
45,1
46,2
47,1
48,1
49,2
50,1
51,2
52,1
53,1
54,1
55,1
56,2
57,1
58,1
59,1
60,2
61,1
62,2
63,1
64,2
65,2
66,1
67,1
68,2
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,2
77,2
78,2
79,1
80,2
81,1
82,1
83,2
84,1
85,1
86,2
87,1
88,1
89,1
90,2
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,2
99,1
100,1
101,2
102,1
103,1
104,2
105,1
106,1
107,2
108,2
109,1
110,1
111,2
112,1
113,2
114,1
115,1
116,1
117,2
118,1
119,1
120,1
121,1
122,2
123,1
124,1
125,2
126,1
127,1
128,1
129,2
130,2
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,2
