1, 1
2, 2
3, 2
4, 2
5, 2
6, 2
7, 2
8, 1
9, 1
10, 1
11, 1
12, 2
13, 1
14, 1
15, 2
16, 2
17, 1
18, 1
19, 2
20, 1
21, 1
22, 1
23, 2
24, 2
25, 1
26, 2
27, 2
28, 1
29, 2
30, 1
31, 2
32, 2
33, 1
34, 1
35, 2
36, 1
37, 2
38, 1
39, 2
40, 1
41, 2
42, 2
43, 1
44, 1
45, 2
46, 2
47, 1
48, 2
49, 2
50, 1
51, 2
52, 1
53, 1
54, 1
55, 1
56, 2
57, 1
58, 1
59, 2
60, 2
61, 1
62, 2
63, 1
64, 2
65, 2
66, 1
67, 2
68, 1
69, 1
70, 2
71, 2
72, 1
73, 1
74, 1
75, 1
76, 2
77, 1
78, 2
79, 2
80, 2
81, 1
82, 1
83, 2
84, 2
85, 1
86, 2
87, 2
88, 1
89, 1
90, 2
91, 2
92, 1
93, 2
94, 2
95, 1
96, 1
97, 2
98, 1
99, 1
100, 2
101, 2
102, 2
103, 1
104, 2
105, 1
106, 1
107, 2
108, 1
109, 2
110, 1
111, 2
112, 1
113, 2
114, 1
115, 2
116, 1
117, 2
118, 1
119, 2
120, 2
121, 1
122, 2
123, 1
124, 2
125, 2
126, 1
127, 2
128, 1
129, 2
130, 2
131, 1
132, 1
133, 1
134, 1
135, 1
136, 1
137, 2
138, 2
139, 1
140, 2
